Dataset,Spuntik_time,Sputnik_gflops,cuSparse_time,cuSparse_gflops,ours_time,ours_gflops
fe_body, 2.249728, 372.630866, 2.150400, 389.842871, 1.445888, 579.794601
fe_ocean, 6.203392, 338.059589, 6.410240, 327.150950, 3.846144, 545.251603
fe_rotor, 7.534592, 450.143372, 7.689216, 441.091349, 4.813824, 704.563897
fe_tooth, 5.323776, 435.267378, 5.168128, 448.376262, 3.609600, 641.973038
fem_filter, 7.215104, 614.251340, 7.699456, 575.610437, 5.606400, 790.505021
fem_hifreq_circuit, 69.998589, 740.192735, 90.668030, 571.452218, 69.890045, 741.342298
filter3D, 12.839936, 539.751764, 12.767232, 542.825436, 9.119744, 759.931201
finan512, 4.087808, 373.867723, 4.048896, 377.460814, 2.693120, 567.482889
finance256, 1.999872, 382.099340, 2.136064, 357.737287, 1.364992, 559.819946
fl2010, 23.781376, 252.572125, 18.942976, 317.083896, 12.937216, 464.281707
flickr, 61.149185, 411.833253, 63.986687, 393.570431, 51.884033, 485.376064
flower_7_4, 1.640448, 315.571166, 1.916928, 270.056082, 1.143808, 452.591761
flower_8_4, 3.180544, 302.049269, 3.452928, 278.222118, 2.069504, 464.208308
foldoc, 0.721920, 426.375879, 0.902144, 341.197497, 0.625664, 491.972180
fome12, 1.258496, 289.926759, 1.568768, 232.584853, 1.056768, 345.271337
fome13, 2.596864, 281.009465, 2.977792, 245.061896, 1.862656, 391.775702
fome20, 2.265088, 262.937378, 2.505728, 237.685941, 1.761280, 338.149721
fome21, 4.641792, 256.614835, 4.487168, 265.457563, 3.307520, 360.134684
ford1, 0.825344, 315.062025, 0.994304, 261.524202, 0.626688, 414.934638
ford2, 4.430848, 314.703019, 4.077568, 341.968855, 2.779136, 501.739141
fullb, 34.736130, 862.867491, 44.574718, 672.414278, 36.084736, 830.619274
fxm3_16, 2.562048, 391.938456, 2.667520, 376.441452, 1.855488, 541.186551
fxm4_6, 1.999872, 637.281116, 2.129920, 598.370191, 1.888256, 674.951210
