Dataset,ASpT,Sputnik,RoDe
mark3jac080,0.073280,0.388768,0.054272
mark3jac080sc,0.074336,0.387328,0.053248
mark3jac100,0.074464,0.403552,0.055296
mark3jac100sc,0.074368,0.404448,0.055296
mark3jac120,0.075552,0.394944,0.055296
mark3jac120sc,0.076416,0.394848,0.056320
mark3jac140,0.074016,0.392544,0.057344
mark3jac140sc,0.076832,0.390304,0.057344
matrix-new_3,6.681600,0.806304,0.062464
matrix_9,0.150528,0.888256,0.060416
mc2depi,0.098240,1.578816,0.079872
md2010,0.083232,0.895520,0.063488
me2010,0.079840,0.899712,0.060416
memchip,0.246784,1.675552,0.171008
memplus,0.193536,0.397216,0.052224
mi2010,0.096544,1.521952,0.086016
minsurfo,0.073280,0.398208,0.059392
mip1,12.950528,0.397888,0.067584
mixtank_new,9.744384,0.415200,0.053248
mk12-b3,0.072576,0.370496,0.055296
mk12-b4,0.075968,0.373248,0.056320
mk13-b5,0.075936,0.902208,0.064512
mn2010,0.088288,0.913600,0.069632
mo2010,0.087392,1.530848,0.087040
mod2,0.093952,0.412480,0.054272
mono_500Hz,8.764416,0.902304,0.069632
mouse_gene,21.472256,0.415360,0.064512
mri1,0.090816,1.235904,0.060416
mri2,0.086816,0.860992,0.058368
ms2010,0.084640,0.889280,0.069632
msc10848,4.944896,0.409600,0.054272
msc23052,4.699712,0.424608,0.054272
msdoor,13.191328,1.281312,0.081920
mt2010,0.081504,0.900896,0.064512
